,Unnamed: 0,time,refID_coin,price,marketCap,CirculatingSupply,Volume24h,Movement1h,Movement24h
5,5,2018-01-17 11:25:00,1448,176.14,9651298201,54793958,1353810000,-1.36,-12.67
25,1447,2018-01-17 11:30:00,1448,176.17,9652996814,54793958,1350310000,-0.83,-12.11
45,2889,2018-01-17 11:35:00,1448,176.36,9663626842,54793958,1349520000,-0.9,-12.01
65,4331,2018-01-17 11:45:00,1448,175.37,9609347951,54794083,1336080000,-1.55,-12.01
85,5773,2018-01-17 11:50:00,1448,174.3,9550499105,54794083,1326970000,-2.16,-12.39
105,7215,2018-01-17 11:55:00,1448,173.1,9484910588,54794083,1313860000,-2.87,-12.89
125,8657,2018-01-17 12:00:00,1448,170.48,9341130914,54794083,1287560000,-4.43,-14.11
145,10099,2018-01-17 12:05:00,1448,169.98,9313987045,54794283,1276290000,-4.06,-14.32
165,11541,2018-01-17 12:10:00,1448,170.62,9348891003,54794283,1275200000,-3.62,-13.96
185,12983,2018-01-17 12:15:00,1448,169.93,9311082948,54794283,1265650000,-3.84,-14.34
205,14425,2018-01-17 12:20:00,1448,167.83,9195905364,54794283,1249750000,-4.89,-15.5
225,15867,2018-01-17 12:25:00,1448,167.53,9179989547,54794458,1248600000,-4.91,-15.71
245,17309,2018-01-17 13:00:00,1448,164.31,9003351359,54794908,1215030000,-3.53,-17.85
265,18751,2018-01-17 13:05:00,1448,162.8,8920720637,54794908,1204290000,-4.19,-18.64
285,20193,2018-01-17 13:10:00,1448,165.17,9050310595,54794908,1221150000,-2.5,-17.46
305,21635,2018-01-17 13:15:00,1448,169.14,9268175150,54794908,1249010000,0.34,-15.51
325,23077,2018-01-17 13:20:00,1448,172.14,9432548115,54795158,1269360000,2.26,-14.04
345,24519,2018-01-17 13:25:00,1448,171.96,9422520601,54795158,1267030000,2.95,-14.22
365,25961,2018-01-17 13:30:00,1448,169.76,9302135638,54795158,1250280000,1.58,-15.47
385,27403,2018-01-17 13:35:00,1448,169.25,9273861337,54795158,1245570000,1.36,-16.02
405,28845,2018-01-17 13:40:00,1448,169.46,9285360125,54795433,1246150000,1.68,-15.95
425,30287,2018-01-17 13:45:00,1448,168.28,9220975491,54795433,1237650000,1.3,-16.77
445,31729,2018-01-17 13:50:00,1448,165.94,9092754177,54795433,1219510000,0.17,-18.06
465,33171,2018-01-17 13:55:00,1448,163.68,8968861703,54795433,1203690000,-1.14,-19.3
485,34613,2018-01-17 14:00:00,1448,163.31,8948776276,54795583,1202830000,-1.23,-19.48
505,36055,2018-01-17 14:05:00,1448,163.96,8984448201,54795583,1206730000,-1.54,-19.27
525,37497,2018-01-17 14:10:00,1448,162.42,8899789025,54795583,1194710000,-2.9,-20.09
545,38939,2018-01-17 14:15:00,1448,164.7,9024996932,54795583,1209110000,-1.9,-19.0
565,40381,2018-01-17 14:25:00,1448,165.76,9083100971,54795708,1216400000,-2.25,-18.49
585,41823,2018-01-17 14:30:00,1448,165.39,9062881354,54795708,1212130000,-2.46,-18.67
605,43265,2018-01-17 14:35:00,1448,166.51,9124142956,54795708,1217110000,-2.05,-18.12
625,44707,2018-01-17 14:40:00,1448,169.8,9304146857,54795708,1237410000,0.41,-16.59
645,46149,2018-01-17 14:45:00,1448,171.28,9385443148,54795908,1247580000,2.12,-15.79
665,47591,2018-01-17 14:50:00,1448,169.58,9292454492,54795908,1235180000,1.49,-16.67
685,49033,2018-01-17 14:55:00,1448,168.9,9255193275,54795908,1228800000,1.59,-16.95
705,50475,2018-01-17 15:00:00,1448,168.59,9237877768,54795908,1225650000,1.99,-17.12
725,51917,2018-01-17 15:05:00,1448,166.82,9141251150,54796108,1213190000,1.34,-18.01
745,53359,2018-01-17 15:10:00,1448,166.49,9122894454,54796108,1210340000,1.53,-18.17
765,54801,2018-01-17 15:15:00,1448,165.87,9088866071,54796108,1206520000,1.03,-18.51
785,56243,2018-01-17 15:20:00,1448,167.38,9171662990,54796108,1217500000,1.57,-17.79
805,57685,2018-01-17 15:25:00,1448,167.68,9188126975,54796258,1218610000,1.31,-17.65
