,Unnamed: 0,time,refID_coin,price,marketCap,CirculatingSupply,Volume24h,Movement1h,Movement24h
1,1,2018-01-17 11:25:00,1443,960.93,93242345727,97033038,7990730000,-2.37,-12.48
21,1443,2018-01-17 11:30:00,1443,961.11,93259132443,97033038,7968750000,-2.0,-12.04
41,2885,2018-01-17 11:35:00,1443,961.68,93314732374,97033038,7961440000,-1.84,-11.64
61,4327,2018-01-17 11:45:00,1443,954.97,92663910941,97033118,7868470000,-2.36,-11.75
81,5769,2018-01-17 11:50:00,1443,953.37,92508366852,97033118,7853590000,-2.6,-11.71
101,7211,2018-01-17 11:55:00,1443,946.03,91796434864,97033118,7771400000,-3.39,-12.27
121,8653,2018-01-17 12:00:00,1443,933.59,90589148808,97033118,7621040000,-4.66,-13.3
141,10095,2018-01-17 12:05:00,1443,926.09,89861151723,97033269,7551350000,-4.97,-13.95
161,11537,2018-01-17 12:10:00,1443,929.29,90172337416,97033269,7548720000,-4.27,-13.59
181,12979,2018-01-17 12:15:00,1443,928.1,90056285626,97033269,7493260000,-3.95,-13.73
201,14421,2018-01-17 12:20:00,1443,917.22,89001145862,97033269,7396770000,-5.07,-14.82
221,15863,2018-01-17 12:25:00,1443,910.31,88330898928,97033440,7334480000,-5.35,-15.43
241,17305,2018-01-17 13:00:00,1443,894.5499999999997,86801819133,97033844,7034700000,-3.82,-17.67
261,18747,2018-01-17 13:05:00,1443,888.1599999999999,86181578803,97033844,6970030000,-4.5,-18.36
281,20189,2018-01-17 13:10:00,1443,895.9299999999997,86935919905,97033844,7056210000,-2.64,-17.71
301,21631,2018-01-17 13:15:00,1443,917.44,89023020854,97033844,7244830000,-0.05,-15.77
321,23073,2018-01-17 13:20:00,1443,932.46,90480292169,97033966,7325280000,1.74,-14.49
341,24515,2018-01-17 13:25:00,1443,935.74,90798854680,97033966,7318250000,2.61,-14.31
361,25957,2018-01-17 13:30:00,1443,926.08,89860827328,97033966,7233350000,1.93,-15.51
381,27399,2018-01-17 13:35:00,1443,920.06,89277168021,97033966,7175790000,1.25,-16.1
401,28841,2018-01-17 13:40:00,1443,916.3,88913890169,97035362,7181430000,0.86,-16.57
421,30283,2018-01-17 13:45:00,1443,908.74,88179429516,97035362,7122930000,0.18,-17.41
441,31725,2018-01-17 13:50:00,1443,895.08,86853926473,97035362,7030460000,-0.88,-18.94
461,33167,2018-01-17 13:55:00,1443,880.99,85486698226,97035362,6933020000,-2.42,-20.22
481,34609,2018-01-17 14:00:00,1443,879.72,85364106713,97035652,6927770000,-2.4,-20.7
501,36051,2018-01-17 14:05:00,1443,881.35,85522565933,97035652,6968790000,-2.63,-20.72
521,37493,2018-01-17 14:10:00,1443,875.62,84966648683,97035652,6880250000,-3.73,-21.23
541,38935,2018-01-17 14:15:00,1443,883.13,85694804215,97035652,6952920000,-3.26,-20.66
561,40377,2018-01-17 14:25:00,1443,890.07,86368307157,97035737,7012090000,-2.89,-20.07
581,41819,2018-01-17 14:30:00,1443,890.4199999999997,86402560772,97035737,6976230000,-3.28,-20.18
601,43261,2018-01-17 14:35:00,1443,892.33,86587510886,97035737,6992780000,-3.35,-20.06
621,44703,2018-01-17 14:40:00,1443,905.01,87818021065,97035737,7089070000,-1.54,-18.83
641,46145,2018-01-17 14:45:00,1443,914.09,88699554542,97035803,7161190000,0.68,-18.05
661,47587,2018-01-17 14:50:00,1443,907.3,88041069580,97035803,7082510000,-0.06,-18.68
681,49029,2018-01-17 14:55:00,1443,902.53,87577723619,97035803,7047690000,0.56,-19.12
701,50471,2018-01-17 15:00:00,1443,900.6599999999999,87395878524,97035803,7020960000,1.55,-19.31
721,51913,2018-01-17 15:05:00,1443,893.87,86737182484,97035893,6965340000,1.27,-19.93
741,53355,2018-01-17 15:10:00,1443,889.51,86314785242,97035893,6941250000,0.66,-20.33
761,54797,2018-01-17 15:15:00,1443,884.73,85850662566,97035893,6901280000,0.15,-20.83
781,56239,2018-01-17 15:20:00,1443,888.36,86202514714,97035893,6945880000,0.56,-20.52
801,57681,2018-01-17 15:25:00,1443,892.85,86638836531,97036056,6969490000,0.52,-20.11
821,59123,2018-01-17 15:30:00,1443,893.12,86664939230,97036056,6967880000,0.02,-20.08
841,60565,2018-01-17 15:35:00,1443,888.7799999999999,86243608676,97036056,6938940000,-0.97,-20.33
861,62007,2018-01-17 15:40:00,1443,883.1,85692637951,97036056,6893270000,-2.09,-20.75
881,63449,2018-01-17 15:45:00,1443,880.0,85392368515,97036231,6867200000,-2.43,-21.03
901,64891,2018-01-17 15:50:00,1443,873.82,84792587571,97036231,6821570000,-3.3,-21.5
921,66333,2018-01-17 15:55:00,1443,865.39,83974281035,97036231,6752630000,-3.99,-22.08
941,67775,2018-01-17 16:00:00,1443,865.84,84017947339,97036231,6771820000,-3.94,-22.05
961,69217,2018-01-17 16:05:00,1443,865.82,84015924681,97036473,6741080000,-3.07,-21.98
981,70659,2018-01-17 16:10:00,1443,859.52,83404886013,97036473,6678520000,-3.77,-22.5
1001,72101,2018-01-17 16:15:00,1443,851.95,82670513988,97036473,6631430000,-4.48,-23.14
1021,73543,2018-01-17 16:20:00,1443,847.96,82283015929,97036664,6649000000,-4.68,-23.53
1041,74985,2018-01-17 16:25:00,1443,840.64,81573095692,97036664,6565810000,-5.26,-24.27
1061,76427,2018-01-17 16:30:00,1443,831.27,80663473999,97036664,6513680000,-6.1,-25.17
1081,77869,2018-01-17 16:35:00,1443,831.27,80663473999,97036664,6513680000,-6.1,-25.17
1101,79311,2018-01-17 16:40:00,1443,812.33,78826198991,97036805,6419680000,-7.54,-26.98
1121,80753,2018-01-17 16:45:00,1443,808.1,78415151085,97036805,6435610000,-7.61,-27.37
1141,82195,2018-01-17 16:50:00,1443,813.45,78934589103,97036805,6553320000,-6.55,-26.85
1161,83637,2018-01-17 16:55:00,1443,813.45,78934589103,97036805,6553320000,-6.55,-26.85
1181,85079,2018-01-17 17:00:00,1443,804.8099999999997,78096501450,97036950,6512360000,-6.36,-27.62
