,Unnamed: 0,time,refID_coin,price,marketCap,CirculatingSupply,Volume24h,Movement1h,Movement24h
4,4,2018-01-17 11:25:00,1446,0.544258,14111015557,25927070538,1511130000,-2.56,-14.91
24,1446,2018-01-17 11:30:00,1446,0.545643,14146924550,25927070538,1511920000,-1.8,-14.38
44,2888,2018-01-17 11:35:00,1446,0.544555,14118715897,25927070538,1507640000,-1.96,-13.92
64,4330,2018-01-17 11:45:00,1446,0.539331,13983272880,25927070538,1488030000,-2.91,-14.51
84,5772,2018-01-17 11:50:00,1446,0.538712,13967224024,25927070538,1480730000,-3.2,-14.37
104,7214,2018-01-17 11:55:00,1446,0.532169,13797583201,25927070538,1441470000,-4.24,-15.37
124,8656,2018-01-17 12:00:00,1446,0.524423,13596752113,25927070538,1413110000,-5.41,-16.54
144,10098,2018-01-17 12:05:00,1446,0.519785,13476502360,25927070538,1426210000,-6.12,-17.21
164,11540,2018-01-17 12:10:00,1446,0.5255340000000001,13625557088,25927070538,1406000000,-4.34,-16.21
184,12982,2018-01-17 12:15:00,1446,0.523623,13576010456,25927070538,1376850000,-4.06,-16.66
204,14424,2018-01-17 12:20:00,1446,0.516803,13399187835,25927070538,1369110000,-5.28,-17.89
224,15866,2018-01-17 12:25:00,1446,0.511691,13266648651,25927070538,1351780000,-6.02,-18.69
244,17308,2018-01-17 13:00:00,1446,0.500726,12982358322,25927070538,1250730000,-4.39,-21.41
264,18750,2018-01-17 13:05:00,1446,0.497633,12902165893,25927070538,1247420000,-4.67,-21.97
284,20192,2018-01-17 13:10:00,1446,0.499155,12941626894,25927070538,1274150000,-3.75,-21.87
304,21634,2018-01-17 13:15:00,1446,0.5157609999999999,13372171828,25927070538,1291860000,-0.1,-19.27
324,23076,2018-01-17 13:20:00,1446,0.524996,13611608324,25927070538,1295710000,2.43,-18.09
344,24518,2018-01-17 13:25:00,1446,0.528211,13694963856,25927070538,1297920000,3.15,-17.78
364,25960,2018-01-17 13:30:00,1446,0.5246930000000001,13603752422,25927070538,1277560000,2.8,-18.42
384,27402,2018-01-17 13:35:00,1446,0.5154890000000001,13365119665,25927070538,1282480000,1.3,-20.19
404,28844,2018-01-17 13:40:00,1446,0.5185390000000001,13444197230,25927070538,1275270000,2.01,-19.78
424,30286,2018-01-17 13:45:00,1446,0.515416,13363226988,25927070538,1263250000,1.78,-20.46
444,31728,2018-01-17 13:50:00,1446,0.507166,13149328656,25927070538,1250110000,0.31,-22.03
464,33170,2018-01-17 13:55:00,1446,0.499205,12942923248,25927070538,1238360000,-1.13,-23.3
484,34612,2018-01-17 14:00:00,1446,0.490982,12729724947,25927070538,1244580000,-2.9,-24.74
504,36054,2018-01-17 14:05:00,1446,0.504763,13087025906,25927070538,1240650000,-0.53,-22.86
524,37496,2018-01-17 14:10:00,1446,0.494229,12813910145,25927070538,1233710000,-3.09,-24.47
544,38938,2018-01-17 14:15:00,1446,0.49759200000000003,12901102883,25927070538,1244150000,-3.01,-23.99
564,40380,2018-01-17 14:25:00,1446,0.5104069999999999,13233358292,25927070538,1246880000,-1.48,-22.05
584,41822,2018-01-17 14:30:00,1446,0.507717,13163614472,25927070538,1241750000,-2.01,-22.38
604,43264,2018-01-17 14:35:00,1446,0.508054,13172351895,25927070538,1250300000,-2.53,-22.28
624,44706,2018-01-17 14:40:00,1446,0.514163,13330740369,25927070538,1264330000,-1.35,-21.44
644,46148,2018-01-17 14:45:00,1446,0.526634,13654076866,25927070538,1265060000,2.15,-19.43
664,47590,2018-01-17 14:50:00,1446,0.519968,13481247014,25927070538,1250280000,1.28,-20.49
684,49032,2018-01-17 14:55:00,1446,0.517566,13418970190,25927070538,1266040000,2.28,-20.77
704,50474,2018-01-17 15:00:00,1446,0.517385,13414277390,25927070538,1248470000,3.07,-20.77
724,51916,2018-01-17 15:05:00,1446,0.510418,13233643490,25927070538,1243020000,1.81,-21.82
744,53358,2018-01-17 15:10:00,1446,0.51077,13242769819,25927070538,1237990000,2.36,-21.74
764,54800,2018-01-17 15:15:00,1446,0.505944,13117645776,25927070538,1241900000,1.05,-22.5
784,56242,2018-01-17 15:20:00,1446,0.5084069999999999,13181504151,25927070538,1251390000,1.28,-22.12
804,57684,2018-01-17 15:25:00,1446,0.516107,13381142594,25927070538,1249160000,2.14,-20.96
824,59126,2018-01-17 15:30:00,1446,0.5146689999999999,13343859467,25927070538,1244120000,1.23,-21.17
844,60568,2018-01-17 15:35:00,1446,0.511284,13256096333,25927070538,1241850000,-0.15,-21.61
864,62010,2018-01-17 15:40:00,1446,0.5044310000000001,13078418119,25927070538,1236090000,-2.04,-22.6
884,63452,2018-01-17 15:45:00,1446,0.503084,13043494355,25927070538,1230700000,-2.44,-22.75
904,64894,2018-01-17 15:50:00,1446,0.502434,13026641759,25927070538,1212900000,-2.69,-22.76
924,66336,2018-01-17 15:55:00,1446,0.491701,12748366511,25927070538,1214390000,-4.92,-24.34
944,67778,2018-01-17 16:00:00,1446,0.495399,12844244817,25927070538,1217100000,-3.9,-23.69
964,69220,2018-01-17 16:05:00,1446,0.498287,12919122197,25927070538,1202560000,-2.63,-23.16
984,70662,2018-01-17 16:10:00,1446,0.49152299999999993,12743751492,25927070538,1198000000,-4.07,-24.12
1004,72104,2018-01-17 16:15:00,1446,0.490087,12706520219,25927070538,1182100000,-4.19,-24.31
1024,73546,2018-01-17 16:20:00,1446,0.492037,12757078006,25927070538,1181270000,-3.55,-24.02
1044,74988,2018-01-17 16:25:00,1446,0.48431499999999994,12556869168,25927070538,1174800000,-4.87,-25.21
1064,76430,2018-01-17 16:30:00,1446,0.477075,12369157177,25927070538,1163790000,-6.2,-26.37
1084,77872,2018-01-17 16:35:00,1446,0.477075,12369157177,25927070538,1163790000,-6.2,-26.37
1104,79314,2018-01-17 16:40:00,1446,0.46600600000000003,12082170433,25927070538,1133850000,-7.06,-28.16
1124,80756,2018-01-17 16:45:00,1446,0.454981,11796324480,25927070538,1134890000,-8.86,-29.86
1144,82198,2018-01-17 16:50:00,1446,0.459929,11924611625,25927070538,1148860000,-7.67,-29.1
1164,83640,2018-01-17 16:55:00,1446,0.459929,11924611625,25927070538,1148860000,-7.67,-29.1
1184,85082,2018-01-17 17:00:00,1446,0.455604,11812477045,25927070538,1137180000,-7.56,-29.75
1204,86524,2018-01-17 17:05:00,1446,0.45377,11764926798,25927070538,1136300000,-7.63,-30.07
1224,87966,2018-01-17 17:10:00,1446,0.452657,11736069969,25927070538,1147090000,-7.68,-30.22
1244,89408,2018-01-17 17:15:00,1446,0.459611,11916366817,25927070538,1151730000,-5.76,-29.15
1264,90850,2018-01-17 17:20:00,1446,0.461905,11975843517,25927070538,1150680000,-4.57,-28.82
1284,92292,2018-01-17 17:25:00,1446,0.456074,11824662769,25927070538,1149480000,-5.25,-29.76
1304,93734,2018-01-17 17:30:00,1446,0.451362,11702494412,25927070538,1145720000,-4.88,-30.63
1324,95176,2018-01-17 17:35:00,1446,0.44823100000000005,11621316754,25927070538,1142770000,-5.13,-31.11
1344,96618,2018-01-17 17:40:00,1446,0.44061999999999996,11423985820,25927070538,1150760000,-5.8,-32.35
1364,98060,2018-01-17 17:45:00,1446,0.44823500000000005,11621420463,25927070538,1183490000,-3.32,-31.22
1384,99502,2018-01-17 17:50:00,1446,0.45720200000000005,11853908504,25927070538,1178200000,-0.67,-29.86
1404,100944,2018-01-17 17:55:00,1446,0.458635,11891061996,25927070538,1196860000,0.26,-29.62
1424,102386,2018-01-17 18:00:00,1446,0.46023400000000003,11932519382,25927070538,1178690000,0.82,-29.34
1444,103828,2018-01-17 18:05:00,1446,0.454096,11773379023,25927070538,1172570000,-0.74,-30.18
1464,105270,2018-01-17 18:10:00,1446,0.456297,11830444505,25927070538,1213690000,-0.14,-29.77
1484,106712,2018-01-17 18:15:00,1446,0.47006499999999996,12187408412,25927070538,1222430000,2.95,-27.57
1504,108154,2018-01-17 18:20:00,1446,0.473131,12266900811,25927070538,1216590000,3.99,-26.98
1524,109596,2018-01-17 18:25:00,1446,0.471361,12221009896,25927070538,1223880000,4.07,-27.14
1544,111038,2018-01-17 18:30:00,1446,0.484288,12556169137,25927070538,1252190000,7.07,-25.01
1564,112480,2018-01-17 18:35:00,1446,0.48718999999999996,12631409495,25927070538,1243690000,7.8,-24.42
1584,113922,2018-01-17 18:40:00,1446,0.48310299999999995,12525445558,25927070538,1249410000,7.0,-25.0
1604,115364,2018-01-17 18:45:00,1446,0.484903,12572114285,25927070538,1254500000,7.59,-24.57
1624,116806,2018-01-17 18:50:00,1446,0.49445,12819640028,25927070538,1283150000,9.28,-22.74
1644,118248,2018-01-17 18:55:00,1446,0.49934399999999995,12946527111,25927070538,1290360000,10.08,-21.79
1664,119690,2018-01-17 19:00:00,1446,0.502682,13033071672,25927070538,1303970000,9.42,-21.04
