,Unnamed: 0,time,refID_coin,price,marketCap,CirculatingSupply,Volume24h,Movement1h,Movement24h
19,36,2018-01-17 11:25:00,1477,0.006842,771842808,112802770929,61335800,2.56,-12.14
39,1478,2018-01-17 11:30:00,1477,0.006856999999999999,773530337,112802770929,61351200,2.94,-11.55
59,2920,2018-01-17 11:35:00,1477,0.0068920000000000006,777470538,112802770929,61309100,3.4,-10.75
79,4361,2018-01-17 11:45:00,1477,0.006868000000000001,774751991,112802770929,60632500,2.25,-10.45
99,5803,2018-01-17 11:50:00,1477,0.006899,778271438,112802770929,60449700,2.05,-9.8
119,7245,2018-01-17 11:55:00,1477,0.0068790000000000006,775980413,112802770929,59792700,1.32,-9.95
139,8688,2018-01-17 12:00:00,1477,0.006705,756339195,112802770929,58400300,-2.12,-12.08
159,10130,2018-01-17 12:05:00,1477,0.006652,750360648,112802770929,57524200,-3.13,-12.81
179,11571,2018-01-17 12:10:00,1477,0.006684000000000001,753980489,112802770929,57965300,-2.73,-12.4
199,13013,2018-01-17 12:15:00,1477,0.006686,754169998,112802770929,57690900,-2.63,-12.41
219,14456,2018-01-17 12:20:00,1477,0.006562,740209527,112802770929,56780500,-4.6,-14.24
239,15898,2018-01-17 12:25:00,1477,0.00647,729797831,112802770929,56816900,-6.0,-15.56
259,17340,2018-01-17 13:00:00,1477,0.006186,697762972,112802770929,55601500,-8.0,-20.05
279,18782,2018-01-17 13:05:00,1477,0.006168,695769747,112802770929,55304100,-7.42,-20.4
299,20224,2018-01-17 13:10:00,1477,0.006147,693349000,112802770929,55345500,-6.87,-20.69
319,21666,2018-01-17 13:15:00,1477,0.006344,715584682,112802770929,56808800,-3.1,-18.26
339,23108,2018-01-17 13:20:00,1477,0.0064719999999999995,730059533,112802770929,57525900,-0.26,-16.72
359,24550,2018-01-17 13:25:00,1477,0.006444,726931513,112802770929,57804100,0.97,-17.5
379,25992,2018-01-17 13:30:00,1477,0.0064730000000000005,730157672,112802770929,57401800,1.48,-17.19
399,27434,2018-01-17 13:35:00,1477,0.006383,720031367,112802770929,56687500,0.88,-18.76
419,28876,2018-01-17 13:40:00,1477,0.006435,725873423,112802770929,56971000,1.92,-18.19
439,30318,2018-01-17 13:45:00,1477,0.006412999999999999,723375969,112802770929,56880600,2.16,-18.69
459,31760,2018-01-17 13:50:00,1477,0.0063479999999999995,716047173,112802770929,56453000,1.51,-19.75
479,33202,2018-01-17 13:55:00,1477,0.006206000000000001,700049484,112802770929,55325500,-0.54,-21.75
499,34644,2018-01-17 14:00:00,1477,0.006091,687096342,112802770929,54337200,-2.6,-23.43
519,36086,2018-01-17 14:05:00,1477,0.006194,698678931,112802770929,55396800,-1.22,-22.32
539,37528,2018-01-17 14:10:00,1477,0.006143,692892148,112802770929,54354600,-1.84,-23.04
559,38970,2018-01-17 14:15:00,1477,0.006197,699010571,112802770929,54601600,-1.93,-22.5
579,40412,2018-01-17 14:25:00,1477,0.006339,715028564,112802770929,55519700,-0.04,-20.86
599,41854,2018-01-17 14:30:00,1477,0.006323,713286889,112802770929,55257800,-0.97,-21.14
