,Unnamed: 0,time,refID_coin,price,marketCap,CirculatingSupply,Volume24h,Movement1h,Movement24h
7,7,2018-01-17 11:25:00,1449,119.86,7791225000,65000000,1366290000,-3.92,-21.24
27,1449,2018-01-17 11:30:00,1449,119.69,7779525000,65000000,1363430000,-3.72,-21.0
47,2891,2018-01-17 11:35:00,1449,120.18,7811700000,65000000,1363090000,-3.26,-20.32
67,4333,2018-01-17 11:45:00,1449,119.89,7793045000,65000000,1351660000,-3.66,-20.03
87,5775,2018-01-17 11:50:00,1449,119.12,7742735000,65000000,1341660000,-4.43,-20.39
107,7217,2018-01-17 11:55:00,1449,117.25,7620990000,65000000,1311320000,-5.94,-21.67
127,8659,2018-01-17 12:00:00,1449,115.08,7480200000,65000000,1276220000,-7.68,-22.93
147,10101,2018-01-17 12:05:00,1449,114.67,7453420000,65000000,1272800000,-6.98,-23.11
167,11543,2018-01-17 12:10:00,1449,115.78,7525375000,65000000,1261940000,-4.94,-22.41
187,12985,2018-01-17 12:15:00,1449,114.76,7459465000,65000000,1241740000,-5.28,-23.21
207,14427,2018-01-17 12:20:00,1449,112.8,7332260000,65000000,1215200000,-6.47,-24.64
227,15869,2018-01-17 12:25:00,1449,112.63,7320690000,65000000,1200210000,-6.62,-24.68
246,17310,2018-01-17 13:00:00,1449,108.84,7074470000,65000000,1117110000,-6.26,-28.15
266,18752,2018-01-17 13:05:00,1449,106.74,6938295000,65000000,1099970000,-6.94,-29.59
287,20195,2018-01-17 13:10:00,1449,109.47,7115745000,65000000,1129740000,-3.96,-27.92
306,21636,2018-01-17 13:15:00,1449,115.19,7487350000,65000000,1177300000,1.53,-24.24
326,23078,2018-01-17 13:20:00,1449,118.2,7683260000,65000000,1196420000,4.74,-22.38
346,24520,2018-01-17 13:25:00,1449,117.56,7641400000,65000000,1190040000,4.77,-23.28
366,25962,2018-01-17 13:30:00,1449,114.74,7457840000,65000000,1159470000,2.73,-25.38
386,27404,2018-01-17 13:35:00,1449,114.94,7471295000,65000000,1169100000,3.11,-25.26
406,28846,2018-01-17 13:40:00,1449,116.32,7560735000,65000000,1172960000,4.35,-24.6
426,30288,2018-01-17 13:45:00,1449,113.71,7391280000,65000000,1150290000,2.77,-26.61
446,31730,2018-01-17 13:50:00,1449,111.18,7226570000,65000000,1128700000,1.05,-28.73
466,33172,2018-01-17 13:55:00,1449,108.59,7058675000,65000000,1104350000,-1.04,-30.4
487,34615,2018-01-17 14:00:00,1449,108.42,7047495000,65000000,1113830000,-1.64,-30.72
507,36057,2018-01-17 14:05:00,1449,109.61,7124650000,65000000,1116260000,-1.58,-30.24
527,37499,2018-01-17 14:10:00,1449,107.66,6997965000,65000000,1102100000,-3.33,-31.48
547,38941,2018-01-17 14:15:00,1449,109.37,7109050000,65000000,1116940000,-3.58,-30.38
566,40382,2018-01-17 14:25:00,1449,111.9,7273630000,65000000,1133440000,-2.71,-28.81
586,41824,2018-01-17 14:30:00,1449,111.8,7267000000,65000000,1133870000,-2.95,-28.68
606,43266,2018-01-17 14:35:00,1449,113.3,7364760000,65000000,1145490000,-2.16,-27.62
626,44708,2018-01-17 14:40:00,1449,116.08,7544875000,65000000,1174070000,0.14,-25.77
646,46150,2018-01-17 14:45:00,1449,117.81,7657650000,65000000,1176900000,2.67,-24.7
666,47592,2018-01-17 14:50:00,1449,115.99,7539610000,65000000,1162570000,2.43,-25.73
686,49034,2018-01-17 14:55:00,1449,115.96,7537335000,65000000,1168090000,3.7,-25.62
706,50476,2018-01-17 15:00:00,1449,116.04,7542860000,65000000,1159830000,5.63,-25.39
726,51918,2018-01-17 15:05:00,1449,114.23,7425275000,65000000,1150340000,4.05,-26.45
746,53360,2018-01-17 15:10:00,1449,113.52,7378605000,65000000,1140010000,3.64,-26.83
766,54802,2018-01-17 15:15:00,1449,112.23,7295275000,65000000,1129900000,2.38,-27.58
786,56244,2018-01-17 15:20:00,1449,114.37,7433920000,65000000,1144170000,3.69,-26.17
806,57686,2018-01-17 15:25:00,1449,115.36,7498660000,65000000,1151170000,3.57,-25.47
826,59128,2018-01-17 15:30:00,1449,114.56,7446465000,65000000,1144330000,1.04,-25.92
846,60570,2018-01-17 15:35:00,1449,114.12,7417735000,65000000,1140680000,0.32,-25.99
866,62012,2018-01-17 15:40:00,1449,112.73,7327580000,65000000,1128440000,-1.71,-26.88
886,63454,2018-01-17 15:45:00,1449,112.62,7320235000,65000000,1125960000,-2.8,-26.72
906,64896,2018-01-17 15:50:00,1449,111.63,7256080000,65000000,1106140000,-3.78,-27.23
926,66338,2018-01-17 15:55:00,1449,109.99,7149545000,65000000,1100150000,-4.9,-28.29
946,67780,2018-01-17 16:00:00,1449,110.78,7200375000,65000000,1103280000,-3.77,-27.49
966,69222,2018-01-17 16:05:00,1449,110.48,7181330000,65000000,1088040000,-3.42,-27.56
986,70664,2018-01-17 16:10:00,1449,108.64,7061340000,65000000,1076640000,-5.15,-28.76
1006,72106,2018-01-17 16:15:00,1449,106.89,6947720000,65000000,1052250000,-6.51,-29.81
1026,73548,2018-01-17 16:20:00,1449,106.07,6894290000,65000000,1052610000,-6.83,-30.34
1046,74990,2018-01-17 16:25:00,1449,104.36,6783270000,65000000,1038230000,-8.37,-31.47
1066,76432,2018-01-17 16:30:00,1449,102.05,6633380000,65000000,1023630000,-10.45,-33.02
1086,77874,2018-01-17 16:35:00,1449,102.05,6633380000,65000000,1023630000,-10.45,-33.02
1106,79316,2018-01-17 16:40:00,1449,99.14,6444243000,65000000,997791000,-11.75,-35.05
1126,80758,2018-01-17 16:45:00,1449,98.16,6380406500,65000000,993974000,-12.34,-35.62
1146,82200,2018-01-17 16:50:00,1449,100.64,6541340000,65000000,1018920000,-9.08,-33.98
1166,83642,2018-01-17 16:55:00,1449,100.64,6541340000,65000000,1018920000,-9.08,-33.98
1186,85084,2018-01-17 17:00:00,1449,97.69,6349798000,65000000,999091000,-10.46,-35.99
1207,86527,2018-01-17 17:05:00,1449,96.69,6284629000,65000000,993703000,-10.73,-36.64
1227,87969,2018-01-17 17:10:00,1449,97.25,6321282500,65000000,1007080000,-9.54,-36.28
1246,89410,2018-01-17 17:15:00,1449,100.75,6548620000,65000000,1030880000,-5.19,-34.03
1266,90852,2018-01-17 17:20:00,1449,100.12,6507670000,65000000,1033240000,-4.55,-34.48
1286,92294,2018-01-17 17:25:00,1449,98.38,6394492000,65000000,1019510000,-4.98,-35.79
1307,93737,2018-01-17 17:30:00,1449,96.19,6252480000,65000000,1010920000,-5.49,-37.22
1327,95179,2018-01-17 17:35:00,1449,95.11,6182176000,65000000,1001390000,-5.72,-38.18
1347,96621,2018-01-17 17:40:00,1449,94.57,6146757500,65000000,1009390000,-6.26,-38.54
1367,98063,2018-01-17 17:45:00,1449,96.94,6301301500,65000000,1039290000,-2.67,-37.06
