time,refID_coin,price,marketCap,CirculatingSupply,Volume24h,Movement1h,Movement24h
2018-01-17 11:25:00,1442,10756.0,180786170372,16807937,17884600000,-1.42,-11.4
2018-01-17 11:30:00,1442,10788.1,181325705150,16807937,17865300000,-1.08,-10.91
2018-01-17 11:35:00,1442,10807.5,181651779128,16807937,17891800000,-0.65,-10.75
2018-01-17 11:45:00,1442,10776.1,181124548711,16807987,17712000000,-1.13,-10.58
2018-01-17 11:50:00,1442,10729.7,180344658114,16807987,17645700000,-1.52,-10.74
2018-01-17 11:55:00,1442,10653.3,179060527907,16807987,17405300000,-2.4,-11.37
2018-01-17 12:00:00,1442,10529.0,176971295123,16807987,17049000000,-3.48,-12.34
2018-01-17 12:05:00,1442,10457.1,175763062285,16808012,16945500000,-3.77,-12.8
2018-01-17 12:10:00,1442,10492.2,176353023506,16808012,17028500000,-3.0,-12.55
2018-01-17 12:15:00,1442,10465.7,175907611188,16808012,16881000000,-3.08,-12.75
2018-01-17 12:20:00,1442,10393.1,174687349517,16808012,16617900000,-3.65,-13.41
2018-01-17 12:25:00,1442,10333.8,173691027090,16808050,16522600000,-4.23,-13.87
2018-01-17 13:00:00,1442,10122.1,170133390475,16808112,15968100000,-3.89,-15.96
2018-01-17 13:05:00,1442,10065.5,169182051336,16808112,15871600000,-3.63,-16.43
2018-01-17 13:10:00,1442,10118.6,170074562083,16808112,16037300000,-3.13,-16.02
2018-01-17 13:15:00,1442,10308.0,173258018496,16808112,16471400000,-0.82,-14.46
2018-01-17 13:20:00,1442,10492.8,176364556320,16808150,16679400000,1.06,-12.93
2018-01-17 13:25:00,1442,10534.7,177068817805,16808150,16707200000,1.93,-12.67
2018-01-17 13:30:00,1442,10470.7,175993096205,16808150,16550700000,1.81,-13.32
2018-01-17 13:35:00,1442,10406.6,174915693790,16808150,16454600000,1.31,-13.85
2018-01-17 13:40:00,1442,10430.3,175315089975,16808250,16516100000,1.55,-13.76
2018-01-17 13:45:00,1442,10408.4,174946989300,16808250,16432300000,1.57,-14.0
2018-01-17 13:50:00,1442,10290.4,172963615800,16808250,16233500000,0.9,-15.12
2018-01-17 13:55:00,1442,10124.5,170175127125,16808250,15971900000,-0.61,-16.49
2018-01-17 14:00:00,1442,10090.8,169608941370,16808275,15907800000,-0.59,-16.88
2018-01-17 14:05:00,1442,10116.3,170037552383,16808275,16079900000,-0.97,-16.69
2018-01-17 14:10:00,1442,10104.7,169842576393,16808275,15878000000,-1.09,-16.82
2018-01-17 14:15:00,1442,10167.9,170904859373,16808275,16073700000,-1.03,-16.3
2018-01-17 14:25:00,1442,10270.8,172634430870,16808275,16246800000,-1.13,-15.45
2018-01-17 14:30:00,1442,10307.8,173256337045,16808275,16189700000,-1.27,-15.14
2018-01-17 14:35:00,1442,10337.4,173753861985,16808275,16250900000,-0.94,-14.87
2018-01-17 14:40:00,1442,10467.2,175935576080,16808275,16471000000,0.42,-13.74
2018-01-17 14:45:00,1442,10579.7,177826898466,16808312,16701300000,2.17,-12.74
2018-01-17 14:50:00,1442,10576.9,177779835193,16808312,16536800000,2.14,-12.7
2018-01-17 14:55:00,1442,10539.0,177142800168,16808312,16514000000,2.89,-12.97
2018-01-17 15:00:00,1442,10492.3,176357851998,16808312,16469900000,2.98,-13.31
2018-01-17 15:05:00,1442,10423.1,175194716807,16808312,16283700000,2.74,-13.87
2018-01-17 15:10:00,1442,10340.6,173808031067,16808312,16222700000,1.89,-14.5
2018-01-17 15:15:00,1442,10332.6,173673564571,16808312,16146400000,1.53,-14.55
2018-01-17 15:20:00,1442,10373.5,174361024532,16808312,16254700000,1.71,-14.2
2018-01-17 15:25:00,1442,10431.0,175327638075,16808325,16343200000,1.51,-13.7
2018-01-17 15:30:00,1442,10412.7,175020045728,16808325,16320200000,0.99,-13.79
2018-01-17 15:35:00,1442,10381.6,174497306820,16808325,16241600000,-0.05,-14.02
2018-01-17 15:40:00,1442,10336.5,173739251363,16808325,16115200000,-0.83,-14.3
2018-01-17 15:45:00,1442,10314.3,173366230319,16808337,16117800000,-1.76,-14.46
2018-01-17 15:50:00,1442,10228.7,171927436672,16808337,16002300000,-2.7,-15.09
2018-01-17 15:55:00,1442,10172.6,170984488966,16808337,15786900000,-3.04,-15.42
2018-01-17 16:00:00,1442,10174.2,171011382305,16808337,15879500000,-3.03,-15.41
2018-01-17 16:05:00,1442,10185.1,171194980213,16808375,15854800000,-2.23,-15.24
2018-01-17 16:10:00,1442,10144.5,170512560188,16808375,15692300000,-2.61,-15.52
2018-01-17 16:15:00,1442,10054.4,168998125600,16808375,15565400000,-3.31,-16.23
2018-01-17 16:20:00,1442,10022.2,168457016191,16808387,15620100000,-3.43,-16.54
2018-01-17 16:25:00,1442,9977.19,167700470693,16808387,15459100000,-3.83,-16.95
2018-01-17 16:30:00,1442,9898.23,166373280455,16808387,15302400000,-4.37,-17.64
2018-01-17 16:35:00,1442,9898.23,166373280455,16808387,15302400000,-4.37,-17.64
2018-01-17 16:40:00,1442,9724.2,163448243280,16808400,15075200000,-5.3,-19.16
2018-01-17 16:45:00,1442,9620.09,161698320756,16808400,15054400000,-6.01,-20.02
2018-01-17 16:50:00,1442,9621.71,161725550364,16808400,15280900000,-5.87,-20.01
2018-01-17 16:55:00,1442,9621.71,161725550364,16808400,15280900000,-5.87,-20.01
2018-01-17 17:00:00,1442,9616.41,161636465844,16808400,15203700000,-5.22,-20.07
2018-01-17 17:05:00,1442,9555.33,160609808772,16808400,15158900000,-5.5,-20.53
2018-01-17 17:10:00,1442,9561.4,160711835760,16808400,15238800000,-5.03,-20.47
2018-01-17 17:15:00,1442,9634.14,161934478776,16808400,15513000000,-4.09,-19.88
2018-01-17 17:20:00,1442,9676.53,162647344884,16808437,15516300000,-3.19,-19.54
2018-01-17 17:25:00,1442,9622.96,161746916914,16808437,15423600000,-2.88,-19.99
2018-01-17 17:30:00,1442,9529.0,160167596173,16808437,15293800000,-3.43,-20.84
2018-01-17 17:35:00,1442,9446.19,158775689505,16808437,15208100000,-3.71,-21.59
2018-01-17 17:40:00,1442,9402.29,158038156408,16808475,15189500000,-3.63,-22.01
2018-01-17 17:45:00,1442,9511.29,159870280183,16808475,15570100000,-2.0,-21.13
2018-01-17 17:50:00,1442,9644.21,162104462680,16808475,15824500000,-0.12,-20.04
2018-01-17 17:55:00,1442,9686.52,162815629257,16808475,15873500000,0.68,-19.68
2018-01-17 18:00:00,1442,9674.24,162609337275,16808487,15865400000,0.73,-19.73
2018-01-17 18:05:00,1442,9609.27,161517289874,16808487,15668500000,0.06,-20.21
2018-01-17 18:10:00,1442,9691.4,162897770912,16808487,15871100000,0.86,-19.53
2018-01-17 18:15:00,1442,9824.71,165138510314,16808487,16253500000,2.22,-18.28
2018-01-17 18:20:00,1442,9891.48,166261060278,16808512,16284800000,3.3,-17.64
2018-01-17 18:25:00,1442,9876.79,166014143236,16808512,16275500000,3.39,-17.67
2018-01-17 18:30:00,1442,9935.66,167003660338,16808512,16601100000,4.24,-17.1
2018-01-17 18:35:00,1442,10028.3,168560800890,16808512,16764100000,5.21,-16.22
2018-01-17 18:40:00,1442,10010.0,168253455370,16808537,16716500000,5.08,-16.26
2018-01-17 18:45:00,1442,10031.8,168619881477,16808537,16802400000,4.98,-15.92
2018-01-17 18:50:00,1442,10116.8,170048607122,16808537,17045900000,5.74,-15.08
2018-01-17 18:55:00,1442,10168.5,170917608485,16808537,17155400000,5.89,-14.51
2018-01-17 19:00:00,1442,10207.6,171575210170,16808575,17268200000,5.36,-14.04
2018-01-17 19:05:00,1442,10283.2,172845938440,16808575,17532200000,6.14,-13.28
2018-01-17 19:10:00,1442,10374.5,174380561338,16808575,17563600000,6.4,-12.42
2018-01-17 19:15:00,1442,10341.8,173830920935,16808575,17616500000,5.76,-12.5
2018-01-17 19:20:00,1442,10374.4,174378880480,16808575,17738100000,5.06,-12.13
2018-01-17 19:25:00,1442,10369.5,174296518463,16808575,17689900000,4.81,-11.92
2018-01-17 19:30:00,1442,10260.8,172469426360,16808575,17393300000,3.0,-12.68
2018-01-17 19:35:00,1442,10156.2,170711249415,16808575,17271000000,1.72,-13.52
2018-01-17 19:40:00,1442,10085.5,169523135300,16808600,17127600000,0.86,-13.98
2018-01-17 19:45:00,1442,10077.2,169383623920,16808600,17221200000,0.06,-13.83
2018-01-17 19:50:00,1442,10102.6,169810562360,16808600,17274600000,-0.18,-13.53
2018-01-17 19:55:00,1442,10093.3,169654242380,16808600,17216300000,-1.02,-13.51
2018-01-17 20:00:00,1442,10132.0,170305241800,16808650,17331200000,-0.64,-13.18
2018-01-17 20:10:00,1442,10170.1,170945651365,16808650,17322300000,-0.77,-12.65
2018-01-17 20:15:00,1442,10131.3,170293475745,16808650,17196300000,-1.66,-13.01
2018-01-17 20:20:00,1442,10088.5,169574065525,16808650,17100000000,-2.29,-13.29
2018-01-17 20:25:00,1442,10040.1,168760647346,16808662,16941900000,-2.61,-13.65
2018-01-17 20:30:00,1442,9991.05,167936182475,16808662,16818000000,-2.81,-13.96
2018-01-17 20:35:00,1442,9954.65,167324347178,16808662,16768700000,-3.02,-14.29
2018-01-17 20:40:00,1442,9951.51,167271567980,16808662,16722500000,-2.63,-14.23
2018-01-17 20:45:00,1442,9957.05,167365315261,16808725,16782800000,-1.7,-14.1
2018-01-17 20:50:00,1442,9987.31,167873947280,16808725,16850500000,-1.41,-13.67
2018-01-17 20:55:00,1442,9969.61,167576432847,16808725,16782600000,-1.45,-13.83
2018-01-17 21:00:00,1442,9951.0,167263622475,16808725,16732300000,-1.65,-13.9
2018-01-17 21:05:00,1442,9925.32,166832093521,16808737,16686100000,-1.86,-14.13
2018-01-17 21:10:00,1442,9908.62,166551387613,16808737,16592600000,-1.98,-14.23
2018-01-17 21:15:00,1442,9962.41,167455529576,16808737,16809100000,-1.29,-13.76
2018-01-17 21:20:00,1442,10097.8,169731264479,16808737,17023500000,0.35,-12.5
2018-01-17 21:25:00,1442,10169.1,170929981654,16808762,17092900000,1.43,-11.84
2018-01-17 21:30:00,1442,10153.1,170661041462,16808762,17077500000,1.27,-11.95
2018-01-17 21:35:00,1442,10130.9,170287886946,16808762,17093100000,1.51,-12.01
2018-01-17 21:40:00,1442,10110.6,169946669077,16808762,16981700000,1.32,-12.11
2018-01-17 21:45:00,1442,10178.7,171091600237,16808787,17153900000,2.11,-11.56
2018-01-17 21:50:00,1442,10275.8,172723733455,16808787,17411500000,3.15,-10.68
2018-01-17 21:55:00,1442,10418.7,175125709117,16808787,17650300000,4.71,-9.32
2018-01-17 22:00:00,1442,10533.5,177055357865,16808787,17854200000,5.87,-8.41
2018-01-17 22:05:00,1442,10586.8,177951668510,16808825,18013000000,6.47,-7.75
2018-01-17 22:10:00,1442,10629.0,178661000925,16808825,18064800000,6.62,-7.38
2018-01-17 22:15:00,1442,10657.1,179133328908,16808825,18336900000,5.83,-6.68
2018-01-17 22:20:00,1442,10769.1,181015917308,16808825,18587100000,6.58,-5.56
2018-01-17 22:25:00,1442,10895.3,183137191023,16808825,18786900000,7.83,-4.32
2018-01-17 22:30:00,1442,10899.4,183206107205,16808825,18841800000,7.28,-4.28
2018-01-17 22:35:00,1442,10870.1,182713608633,16808825,18761800000,6.51,-4.19
2018-01-17 22:40:00,1442,10780.5,181208206304,16808887,18614200000,4.92,-4.76
2018-01-17 22:45:00,1442,10780.5,181208206304,16808887,18614200000,4.92,-4.76
2018-01-17 22:50:00,1442,10857.6,182504171491,16808887,18990600000,4.5,-3.81
2018-01-17 22:55:00,1442,10987.7,184691007690,16808887,19219400000,5.28,-2.37
2018-01-17 23:00:00,1442,11062.4,185946775360,16808900,19309000000,4.64,-1.08
2018-01-17 23:05:00,1442,11027.2,185355102080,16808900,19327700000,4.31,-1.16
2018-01-17 23:10:00,1442,10928.6,183697744540,16808900,19193500000,2.23,-1.54
2018-01-17 23:15:00,1442,10945.9,183988538510,16808900,19331700000,2.39,-1.24
2018-01-17 23:20:00,1442,10929.8,183718188465,16808925,19257300000,1.53,-1.21
2018-01-17 23:25:00,1442,10863.3,182600394953,16808925,19130300000,0.75,-1.38
2018-01-17 23:30:00,1442,10863.9,182610480308,16808925,19189000000,0.53,-1.24
2018-01-17 23:35:00,1442,10863.9,182610480308,16808925,19189000000,0.53,-1.24
2018-01-17 23:40:00,1442,10981.2,184582167210,16808925,19460300000,1.25,-0.19
2018-01-17 23:45:00,1442,11340.0,190613493000,16808950,19984100000,4.48,3.35
2018-01-17 23:50:00,1442,11407.6,191749778020,16808950,19993700000,4.77,4.13
2018-01-17 23:55:00,1442,11389.0,191437131550,16808950,19925100000,4.11,4.32
2018-01-18 00:00:00,1442,11375.5,191210210725,16808950,19952000000,3.98,4.32
2018-01-18 00:05:00,1442,11451.8,192492733610,16808950,20176000000,4.29,4.9
2018-01-18 00:10:00,1442,11537.1,193926537045,16808950,20247800000,5.27,5.86
2018-01-18 00:15:00,1442,11617.3,195274614835,16808950,20407700000,6.32,6.61
2018-01-18 00:20:00,1442,11636.0,195588942200,16808950,20400100000,6.57,6.75
2018-01-18 00:25:00,1442,11536.5,193916451675,16808950,20100600000,5.27,5.68
2018-01-18 00:30:00,1442,11383.6,191346363220,16808950,19638300000,3.79,4.37
2018-01-18 00:35:00,1442,11383.6,191346363220,16808950,19638300000,3.79,4.37
2018-01-18 00:40:00,1442,11346.9,190729894590,16808987,19387700000,1.69,3.72
2018-01-18 00:45:00,1442,11295.3,189862550861,16808987,19177400000,0.12,3.2
2018-01-18 00:50:00,1442,11250.4,189107827345,16808987,19088600000,-0.5,2.67
2018-01-18 00:55:00,1442,11254.9,189183467786,16808987,19140200000,-1.21,2.53
2018-01-18 01:00:00,1442,11200.7,188272980726,16809037,18880500000,-2.03,1.86
2018-01-18 01:05:00,1442,11147.5,187378739958,16809037,18786100000,-2.85,1.23
2018-01-18 01:10:00,1442,11113.1,186800509085,16809037,18694400000,-3.37,0.86
2018-01-18 01:15:00,1442,11010.1,185069178274,16809037,18439300000,-4.48,-0.41
2018-01-18 01:20:00,1442,10956.1,184161490276,16809037,18400900000,-4.8,-1.04
2018-01-18 01:25:00,1442,11059.7,185902906509,16809037,18817700000,-3.9,-0.17
2018-01-18 01:30:00,1442,11206.8,188375515852,16809037,18999200000,-2.35,1.11
2018-01-18 01:35:00,1442,11186.9,188041016015,16809037,18795600000,-2.07,0.82
2018-01-18 01:40:00,1442,11167.4,187714077349,16809112,18839100000,-1.69,0.54
2018-01-18 01:45:00,1442,11272.8,189485757754,16809112,19087100000,-0.08,1.2
2018-01-18 01:50:00,1442,11312.8,190158122234,16809112,19140600000,0.56,1.38
2018-01-18 02:00:00,1442,11269.8,189435330418,16809112,18921800000,0.36,0.98
2018-01-18 02:05:00,1442,11188.6,188070430523,16809112,18830600000,-0.19,0.08
2018-01-18 02:10:00,1442,11198.8,188241883466,16809112,18854600000,0.77,-0.32
