Unnamed: 0,time,refID_coin,price,marketCap,CirculatingSupply,Volume24h,Movement1h,Movement24h
14,2018-01-17 11:25:00,1456,181.82,3048981646,16769324,394049000,-5.69,-16.69
1456,2018-01-17 11:30:00,1456,182.1,3053660287,16769324,393568000,-4.68,-16.31
2898,2018-01-17 11:35:00,1456,182.31,3057131537,16769324,396465000,-4.56,-15.94
4340,2018-01-17 11:45:00,1456,181.6,3045330473,16769349,392112000,-4.46,-15.87
5782,2018-01-17 11:50:00,1456,180.88,3033206234,16769349,388356000,-5.13,-16.07
7224,2018-01-17 11:55:00,1456,178.25,2989153155,16769349,376799000,-6.63,-17.17
8666,2018-01-17 12:00:00,1456,172.39,2890800926,16769349,367376000,-8.95,-19.9
10108,2018-01-17 12:05:00,1456,171.48,2875660348,16769361,373754000,-9.1,-20.19
11550,2018-01-17 12:10:00,1456,173.29,2905895506,16769361,370089000,-6.42,-19.36
12992,2018-01-17 12:15:00,1456,171.65,2878376984,16769361,363040000,-7.08,-20.12
14434,2018-01-17 12:20:00,1456,168.21,2820690382,16769361,355919000,-8.55,-21.86
15876,2018-01-17 12:25:00,1456,165.85,2781252991,16769386,355499000,-9.4,-22.9
17318,2018-01-17 13:00:00,1456,166.76,2796534071,16769411,341929000,-3.35,-23.18
18760,2018-01-17 13:05:00,1456,166.99,2800374266,16769411,340028000,-2.68,-23.13
20202,2018-01-17 13:10:00,1456,168.03,2817780915,16769411,347776000,-1.43,-22.69
21644,2018-01-17 13:15:00,1456,173.65,2911957927,16769411,352873000,3.1,-20.12
23086,2018-01-17 13:20:00,1456,176.44,2958778123,16769411,356556000,5.04,-18.92
24528,2018-01-17 13:25:00,1456,175.73,2946855072,16769411,354392000,5.22,-19.26
25970,2018-01-17 13:30:00,1456,174.22,2921600339,16769411,350784000,4.81,-20.13
27412,2018-01-17 13:35:00,1456,173.32,2906558177,16769411,350766000,4.07,-20.72
28854,2018-01-17 13:40:00,1456,174.22,2921606872,16769449,348440000,4.54,-20.48
30296,2018-01-17 13:45:00,1456,172.92,2899739511,16769449,346641000,3.6,-21.23
31738,2018-01-17 13:50:00,1456,169.73,2846295278,16769449,342519000,1.68,-22.83
33180,2018-01-17 13:55:00,1456,167.61,2810660200,16769449,338211000,0.16,-23.95
34622,2018-01-17 14:00:00,1456,166.09,2785256562,16769461,339485000,-1.34,-24.8
36064,2018-01-17 14:05:00,1456,169.08,2835414020,16769461,339730000,-0.37,-23.57
37506,2018-01-17 14:10:00,1456,165.97,2783244226,16769461,337024000,-2.69,-25.04
38948,2018-01-17 14:15:00,1456,169.46,2841702568,16769461,339874000,-1.3,-23.51
40390,2018-01-17 14:25:00,1456,172.0,2884351607,16769486,339256000,-0.9,-22.35
41832,2018-01-17 14:30:00,1456,170.21,2854300688,16769486,336450000,-1.99,-23.07
43274,2018-01-17 14:35:00,1456,172.07,2885542241,16769486,335928000,-1.45,-22.19
44716,2018-01-17 14:40:00,1456,172.28,2889130911,16769486,338231000,-0.87,-22.18
46158,2018-01-17 14:45:00,1456,175.74,2947088452,16769499,338239000,1.86,-20.5
47600,2018-01-17 14:50:00,1456,177.1,2969911739,16769499,336809000,3.47,-19.83
49042,2018-01-17 14:55:00,1456,175.43,2941889907,16769499,335220000,2.8,-20.61
50484,2018-01-17 15:00:00,1456,175.65,2945512119,16769499,333638000,3.7,-20.42
51926,2018-01-17 15:05:00,1456,172.65,2895204118,16769599,330236000,2.34,-21.72
53368,2018-01-17 15:10:00,1456,172.25,2888630435,16769599,328833000,2.54,-21.89
54810,2018-01-17 15:15:00,1456,170.65,2861698460,16769599,327523000,1.2,-22.57
56252,2018-01-17 15:20:00,1456,170.48,2858864398,16769599,330514000,0.4,-22.62
57694,2018-01-17 15:25:00,1456,172.15,2886878235,16769649,328913000,1.17,-21.85
59136,2018-01-17 15:30:00,1456,171.65,2878577259,16769649,327213000,0.32,-22.02
60578,2018-01-17 15:35:00,1456,170.46,2858537529,16769649,326527000,-1.6,-22.43
62020,2018-01-17 15:40:00,1456,168.86,2831706091,16769649,324369000,-2.7,-23.16
63462,2018-01-17 15:45:00,1456,168.41,2824205919,16769724,322715000,-3.25,-23.27
64904,2018-01-17 15:50:00,1456,166.25,2787966547,16769724,317988000,-4.9,-24.07
66346,2018-01-17 15:55:00,1456,162.98,2733163090,16769724,316549000,-6.57,-25.55
67788,2018-01-17 16:00:00,1456,163.23,2737389060,16769724,317031000,-6.3,-25.34
69230,2018-01-17 16:05:00,1456,162.7,2728483838,16769824,310403000,-6.47,-25.5
70672,2018-01-17 16:10:00,1456,160.67,2694424326,16769824,309702000,-6.99,-26.36
72114,2018-01-17 16:15:00,1456,160.03,2683591020,16769824,302458000,-7.08,-26.63
73556,2018-01-17 16:20:00,1456,160.9,2698182778,16769836,305030000,-5.87,-26.24
74998,2018-01-17 16:25:00,1456,158.67,2660802813,16769836,301123000,-6.88,-27.26
76440,2018-01-17 16:30:00,1456,156.84,2630231402,16769836,297620000,-7.92,-28.14
77882,2018-01-17 16:35:00,1456,156.84,2630231402,16769836,297620000,-7.92,-28.14
79324,2018-01-17 16:40:00,1456,153.51,2574406536,16769849,283499000,-8.3,-29.77
80766,2018-01-17 16:45:00,1456,151.67,2543550015,16769849,292171000,-8.7,-30.55
82208,2018-01-17 16:50:00,1456,152.88,2563707373,16769849,293114000,-6.81,-29.97
83650,2018-01-17 16:55:00,1456,152.88,2563707373,16769849,293114000,-6.81,-29.97
85092,2018-01-17 17:00:00,1456,151.07,2533477001,16769886,288311000,-6.75,-30.76
86534,2018-01-17 17:05:00,1456,150.06,2516422027,16769886,287497000,-6.94,-31.23
87976,2018-01-17 17:10:00,1456,150.08,2516841274,16769886,292642000,-6.57,-31.2
89418,2018-01-17 17:15:00,1456,154.16,2585195330,16769886,296654000,-3.48,-29.33
90860,2018-01-17 17:20:00,1456,154.43,2589840588,16769886,293929000,-2.57,-29.2
92302,2018-01-17 17:25:00,1456,151.67,2543522163,16769886,290047000,-3.88,-30.5
93744,2018-01-17 17:30:00,1456,148.5,2490395164,16769886,287532000,-5.67,-32.0
95186,2018-01-17 17:35:00,1456,147.37,2471344573,16769886,284173000,-4.93,-32.59
96628,2018-01-17 17:40:00,1456,146.95,2464334761,16769886,287161000,-5.0,-32.82
98070,2018-01-17 17:45:00,1456,150.75,2528127407,16769886,295349000,-2.12,-31.11
99512,2018-01-17 17:50:00,1456,152.94,2564819918,16769886,295047000,0.2,-30.12
100954,2018-01-17 17:55:00,1456,154.54,2591651736,16769886,298866000,1.86,-29.35
102396,2018-01-17 18:00:00,1456,153.68,2577166396,16769911,295126000,1.23,-29.68
103838,2018-01-17 18:05:00,1456,152.39,2555549981,16769911,295092000,0.36,-30.21
105280,2018-01-17 18:10:00,1456,154.12,2584528387,16769911,299490000,1.45,-29.36
106722,2018-01-17 18:15:00,1456,159.11,2668327633,16769911,304342000,5.08,-27.0
108164,2018-01-17 18:20:00,1456,158.86,2664070061,16769924,302805000,5.18,-27.02
109606,2018-01-17 18:25:00,1456,156.31,2621239677,16769924,303673000,3.85,-28.1
111048,2018-01-17 18:30:00,1456,158.64,2660313598,16769924,311219000,5.79,-26.94
112490,2018-01-17 18:35:00,1456,159.56,2675792238,16769924,312118000,6.41,-26.51
113932,2018-01-17 18:40:00,1456,159.34,2672037767,16769936,310368000,5.95,-26.39
115374,2018-01-17 18:45:00,1456,159.68,2677856935,16769936,314937000,5.98,-26.19
116816,2018-01-17 18:50:00,1456,161.84,2714046457,16769936,318814000,7.01,-25.03
118258,2018-01-17 18:55:00,1456,161.5,2708294369,16769936,320937000,6.33,-24.94
119700,2018-01-17 19:00:00,1456,163.03,2734071798,16769949,324426000,5.55,-24.07
121142,2018-01-17 19:05:00,1456,166.07,2784951822,16769949,333527000,7.51,-22.66
122584,2018-01-17 19:10:00,1456,166.74,2796237998,16769949,331116000,7.26,-22.15
124026,2018-01-17 19:15:00,1456,167.03,2801101283,16769949,334488000,7.25,-21.87
125469,2018-01-17 19:20:00,1456,168.09,2818776809,16769949,337042000,7.06,-21.23
126912,2018-01-17 19:25:00,1456,168.03,2817804152,16769949,331821000,6.35,-21.06
128355,2018-01-17 19:30:00,1456,164.81,2763888767,16769949,327340000,3.8,-22.4
129798,2018-01-17 19:35:00,1456,164.05,2751059756,16769949,319007000,3.06,-22.64
131246,2018-01-17 19:40:00,1456,162.7,2728405589,16769961,319988000,1.97,-23.1
132694,2018-01-17 19:45:00,1456,162.6,2726795673,16769961,323186000,1.57,-22.98
134142,2018-01-17 19:50:00,1456,163.38,2739926553,16769961,318996000,1.12,-22.51
135590,2018-01-17 19:55:00,1456,162.34,2722418713,16769961,320786000,-0.16,-22.92
137038,2018-01-17 20:00:00,1456,164.67,2761475953,16769961,324389000,0.59,-21.71
138486,2018-01-17 20:10:00,1456,165.4,2773734794,16769961,322812000,0.3,-21.24
139934,2018-01-17 20:15:00,1456,164.1,2751933845,16769961,319579000,-0.79,-21.75
141382,2018-01-17 20:20:00,1456,164.33,2755790936,16769961,318371000,-1.16,-21.58
142830,2018-01-17 20:25:00,1456,162.57,2726292574,16769961,316371000,-2.34,-22.34
