time,refID_coin,price,marketCap,CirculatingSupply,Volume24h,Movement1h,Movement24h
2018-01-17 11:25:00,1474,1.03,1671050936,1618090823,5422730000,-0.5,1.72
2018-01-17 11:30:00,1474,1.03,1667086613,1618090823,5409750000,-0.72,1.46
2018-01-17 11:35:00,1474,1.03,1666601186,1618090823,5405050000,-0.75,1.43
2018-01-17 11:45:00,1474,1.03,1660484803,1618090823,5365670000,-0.92,1.09
2018-01-17 11:50:00,1474,1.03,1666617367,1618090823,5343280000,-0.47,1.5
2018-01-17 11:55:00,1474,1.03,1671601087,1618090823,5301290000,-0.18,1.83
2018-01-17 12:00:00,1474,1.04,1677879279,1618090823,5214990000,0.17,2.24
2018-01-17 12:05:00,1474,1.03,1661196763,1618090823,5159840000,-0.83,1.22
2018-01-17 12:10:00,1474,1.02,1653041585,1618090823,5200250000,-1.21,0.75
2018-01-17 12:15:00,1474,1.03,1658899074,1618090823,5159740000,-0.76,1.15
2018-01-17 12:20:00,1474,1.03,1668397267,1618090823,5090190000,-0.06,1.74
2018-01-17 12:25:00,1474,1.02,1649384700,1618090823,5079010000,-1.17,0.59
2018-01-17 13:00:00,1474,1.02,1657005907,1618090823,4962520000,-0.47,0.96
2018-01-17 13:05:00,1474,1.02,1654692037,1618090823,4934710000,-0.49,0.82
2018-01-17 13:10:00,1474,1.01,1635679470,1618090823,4949100000,-1.47,-0.43
2018-01-17 13:15:00,1474,1.01,1639595250,1618090823,5052650000,-1.16,-0.21
2018-01-17 13:20:00,1474,1.02,1650161383,1618090823,5103820000,-0.47,0.41
2018-01-17 13:25:00,1474,1.02,1657717867,1618090823,5104520000,-0.01,0.89
2018-01-17 13:30:00,1474,1.03,1667523498,1618090823,5061180000,0.6,1.5
2018-01-17 13:35:00,1474,1.02,1655193646,1618090823,5022590000,-0.17,0.72
2018-01-17 13:40:00,1474,1.03,1658947616,1618090823,5040490000,0.04,0.92
2018-01-17 13:45:00,1474,1.03,1659287415,1618090823,5027100000,0.07,0.92
2018-01-17 13:50:00,1474,1.03,1664335859,1618090823,4976950000,0.52,1.17
2018-01-17 13:55:00,1474,1.02,1657297164,1618090823,4942160000,0.2,0.71
2018-01-17 14:00:00,1474,1.01,1640824999,1618090823,4915670000,-0.59,-0.33
2018-01-17 14:05:00,1474,1.02,1656763194,1618090823,4970750000,0.38,0.57
2018-01-17 14:10:00,1474,1.02,1652701786,1618090823,4909520000,0.18,0.28
2018-01-17 14:15:00,1474,1.01,1641035351,1618090823,4942670000,-0.65,-0.5
2018-01-17 14:25:00,1474,1.02,1655306912,1618090823,4987100000,0.26,0.31
2018-01-17 14:30:00,1474,1.02,1654999475,1618090823,4978970000,0.24,0.29
2018-01-17 14:35:00,1474,1.02,1646844297,1618090823,4981750000,-0.52,-0.21
2018-01-17 14:40:00,1474,1.02,1644967312,1618090823,5012230000,-0.85,-0.38
2018-01-17 14:45:00,1474,1.03,1663235557,1618090823,5060500000,0.19,0.73
2018-01-17 14:50:00,1474,1.03,1670953850,1618090823,5009400000,0.63,1.18
2018-01-17 14:55:00,1474,1.03,1664352040,1618090823,4999870000,0.5,0.75
2018-01-17 15:00:00,1474,1.03,1660015556,1618090823,5012740000,0.26,0.49
2018-01-17 15:05:00,1474,1.02,1653963897,1618090823,4971850000,0.05,0.1
2018-01-17 15:10:00,1474,1.03,1659950833,1618090823,4955510000,0.56,0.43
2018-01-17 15:15:00,1474,1.02,1652264901,1618090823,4928960000,0.12,-0.05
2018-01-17 15:20:00,1474,1.02,1647103191,1618090823,4947040000,-0.19,-0.37
2018-01-17 15:25:00,1474,1.02,1655064198,1618090823,4971220000,0.23,0.09
