time,refID_coin,price,marketCap,CirculatingSupply,Volume24h,Movement1h,Movement24h
2018-01-17 11:25:00,1445,1744.13,29504008303,16916175,1544790000,-3.2,-12.15
2018-01-17 11:30:00,1445,1742.58,29477788232,16916175,1535750000,-2.83,-11.8
2018-01-17 11:35:00,1445,1751.49,29628511351,16916175,1535230000,-2.45,-11.04
2018-01-17 11:45:00,1445,1742.52,29476795043,16916188,1516900000,-2.75,-10.95
2018-01-17 11:50:00,1445,1730.45,29272616659,16916188,1504800000,-3.59,-11.23
2018-01-17 11:55:00,1445,1708.89,28907903657,16916188,1482840000,-4.79,-12.33
2018-01-17 12:00:00,1445,1676.88,28366416495,16916188,1444110000,-6.23,-13.94
2018-01-17 12:05:00,1445,1661.84,28112080127,16916238,1429720000,-6.92,-14.59
2018-01-17 12:10:00,1445,1679.47,28410313394,16916238,1431560000,-5.17,-13.7
2018-01-17 12:15:00,1445,1678.73,28397795378,16916238,1422120000,-4.92,-13.75
2018-01-17 12:20:00,1445,1656.55,28022593231,16916238,1402250000,-5.82,-15.06
2018-01-17 12:25:00,1445,1638.29,27713825606,16916313,1385750000,-6.65,-16.0
2018-01-17 13:00:00,1445,1587.33,26851869529,16916375,1340550000,-6.04,-19.16
2018-01-17 13:05:00,1445,1575.52,26652087140,16916375,1333890000,-5.39,-19.78
2018-01-17 13:10:00,1445,1585.43,26819728416,16916375,1347750000,-4.59,-19.28
2018-01-17 13:15:00,1445,1637.85,27706484794,16916375,1385600000,-0.9,-16.62
2018-01-17 13:20:00,1445,1661.49,28106429436,16916400,1403190000,1.4,-15.49
2018-01-17 13:25:00,1445,1673.99,28317884436,16916400,1410210000,2.85,-15.03
2018-01-17 13:30:00,1445,1661.49,28106429436,16916400,1397080000,2.14,-15.67
2018-01-17 13:35:00,1445,1651.7,27940817880,16916400,1391100000,2.04,-16.45
2018-01-17 13:40:00,1445,1664.65,28159926876,16916425,1396290000,3.02,-15.83
2018-01-17 13:45:00,1445,1656.65,28024595476,16916425,1388020000,3.06,-16.36
2018-01-17 13:50:00,1445,1636.85,27689650261,16916425,1372830000,1.83,-17.48
2018-01-17 13:55:00,1445,1607.31,27189939067,16916425,1351700000,0.44,-19.08
2018-01-17 14:00:00,1445,1587.18,26849431271,16916438,1342390000,-1.03,-20.18
