Unnamed: 0,time,refID_coin,price,marketCap,CirculatingSupply,Volume24h,Movement1h,Movement24h
15,2018-01-17 11:25:00,1457,28.14,2791091675,99178867,654307000,-0.13,-15.03
1457,2018-01-17 11:30:00,1457,28.1,2786509611,99178867,650675000,0.14,-14.81
2899,2018-01-17 11:35:00,1457,28.15,2791409047,99178867,647960000,0.47,-14.37
4341,2018-01-17 11:45:00,1457,27.84,2760703067,99179216,638245000,-0.46,-14.83
5783,2018-01-17 11:50:00,1457,27.76,2752838155,99179216,634317000,-1.17,-14.94
7225,2018-01-17 11:55:00,1457,27.43,2720753679,99179216,625744000,-2.3,-15.87
8667,2018-01-17 12:00:00,1457,26.87,2664925698,99179216,611276000,-4.31,-17.47
10109,2018-01-17 12:05:00,1457,26.63,2641003233,99179572,607093000,-5.18,-18.15
11551,2018-01-17 12:10:00,1457,26.82,2660412675,99179572,606952000,-4.4,-17.59
12993,2018-01-17 12:15:00,1457,26.69,2647221792,99179572,601916000,-4.73,-17.97
14435,2018-01-17 12:20:00,1457,26.27,2605318423,99179572,591667000,-6.36,-19.43
15877,2018-01-17 12:25:00,1457,26.13,2591352722,99179905,588237000,-6.88,-19.94
17319,2018-01-17 13:00:00,1457,25.67,2545923917,99180506,570926000,-4.66,-21.86
18761,2018-01-17 13:05:00,1457,25.45,2523955435,99180506,566652000,-4.22,-22.77
20203,2018-01-17 13:10:00,1457,25.65,2544406455,99180506,571814000,-3.02,-22.22
21645,2018-01-17 13:15:00,1457,26.27,2605690090,99180506,585210000,-0.19,-20.42
23087,2018-01-17 13:20:00,1457,26.69,2647077271,99180846,591046000,2.22,-19.21
24529,2018-01-17 13:25:00,1457,26.98,2675631437,99180846,594572000,3.33,-18.44
25971,2018-01-17 13:30:00,1457,26.77,2654575343,99180846,588220000,3.03,-19.28
27413,2018-01-17 13:35:00,1457,26.67,2645053982,99180846,586741000,2.88,-19.91
28855,2018-01-17 13:40:00,1457,26.67,2644695466,99181163,585014000,2.94,-19.94
30297,2018-01-17 13:45:00,1457,26.52,2630095999,99181163,581932000,2.65,-20.62
31739,2018-01-17 13:50:00,1457,26.21,2599161394,99181163,575402000,1.52,-21.84
33181,2018-01-17 13:55:00,1457,25.8,2558576462,99181163,567412000,-0.07,-23.1
34623,2018-01-17 14:00:00,1457,25.38,2517631667,99181443,563129000,-1.52,-24.46
36065,2018-01-17 14:05:00,1457,25.75,2553793221,99181443,567040000,-0.67,-23.61
37507,2018-01-17 14:10:00,1457,25.5,2529553277,99181443,562155000,-2.35,-24.4
