Unnamed: 0,time,refID_coin,price,marketCap,CirculatingSupply,Volume24h,Movement1h,Movement24h
13,2018-01-17 11:25:00,1455,0.05242,3446487375,65748192475,699245000,-2.11,-12.28
1455,2018-01-17 11:30:00,1455,0.052254999999999996,3435658648,65748192475,692222000,-2.12,-12.07
2897,2018-01-17 11:35:00,1455,0.052749000000000004,3468177704,65748192475,693833000,-1.04,-10.72
4339,2018-01-17 11:45:00,1455,0.052213999999999997,3432976122,65748192475,683691000,-2.09,-10.86
5781,2018-01-17 11:50:00,1455,0.052337,3441036850,65748192475,683456000,-2.0,-10.33
7223,2018-01-17 11:55:00,1455,0.051900999999999996,3412410087,65748192475,675262000,-3.11,-10.9
8665,2018-01-17 12:00:00,1455,0.051212,3367116158,65748192475,662920000,-4.18,-11.92
10107,2018-01-17 12:05:00,1455,0.050371,3311815353,65748192475,653645000,-5.32,-13.33
11549,2018-01-17 12:10:00,1455,0.050970999999999995,3351231394,65748192475,657879000,-3.79,-12.24
12991,2018-01-17 12:15:00,1455,0.05099,3352467460,65748192475,653640000,-3.26,-12.21
14433,2018-01-17 12:20:00,1455,0.049949,3284056466,65748192475,640340000,-5.23,-13.99
15875,2018-01-17 12:25:00,1455,0.049294,3241004550,65748192475,632545000,-6.25,-15.15
17317,2018-01-17 13:00:00,1455,0.048851,3211851801,65748192475,613874000,-4.41,-16.29
18759,2018-01-17 13:05:00,1455,0.048456,3185894415,65748192475,607770000,-3.98,-17.15
20201,2018-01-17 13:10:00,1455,0.048589,3194625775,65748192475,610976000,-3.58,-17.03
21643,2018-01-17 13:15:00,1455,0.052074,3423764800,65748192475,651904000,3.94,-11.14
23085,2018-01-17 13:20:00,1455,0.052458000000000005,3449025256,65748192475,656434000,5.51,-10.6
24527,2018-01-17 13:25:00,1455,0.05279400000000001,3471083774,65748192475,656344000,6.24,-10.12
25969,2018-01-17 13:30:00,1455,0.052520000000000004,3453068770,65748192475,648714000,6.24,-10.74
27411,2018-01-17 13:35:00,1455,0.051292,3372349714,65748192475,637721000,3.71,-13.05
28853,2018-01-17 13:40:00,1455,0.052131,3427512447,65748192475,641993000,5.56,-11.82
30295,2018-01-17 13:45:00,1455,0.052105,3425829293,65748192475,639295000,5.84,-11.98
31737,2018-01-17 13:50:00,1455,0.051499,3385966164,65748192475,632228000,4.77,-13.34
33179,2018-01-17 13:55:00,1455,0.049992,3286857339,65748192475,615112000,1.87,-15.88
34621,2018-01-17 14:00:00,1455,0.04883,3210510538,65748192475,604132000,-0.34,-18.08
36063,2018-01-17 14:05:00,1455,0.050381999999999996,3312538583,65748192475,617576000,2.0,-15.72
37505,2018-01-17 14:10:00,1455,0.048969,3219616663,65748192475,602693000,-2.62,-18.15
